<s>            | dit            | 0.00100389495492-> 9.989966e-01   | 
</s>           | <s>            | 0.499443799257 -> 6.068681e-01   | 
<s>            | of             | 0.00196059257723-> 9.980413e-01   | 
of             | wat            | 0.000991768552922-> 9.990087e-01   | 
wat            | dacht          | 1.32239110826e-05-> 9.999868e-01   | 
dacht          | u              | 0.000224582341616-> 9.997755e-01   | 
u              | van            | 0.0275309681892-> 9.728445e-01   | 
van            | dit            | 0.00080733501818-> 9.991930e-01   | 
dit            | artikel        | 1.67909056472e-05-> 9.999832e-01   | 
artikel        | uit            | 0.0017388445558-> 9.982626e-01   | 
uit            | het            | 0.00257123936899-> 9.974321e-01   | 
het            | reglement      | 1.36296293931e-05-> 9.999864e-01   | 
reglement      | </s>           | 0.00886247679591-> 9.911767e-01   | 
</s>           | <s>            | 0.499475032091 -> 6.068491e-01   | 
<s>            | een            | 0.0127262566239-> 9.873544e-01   | 
een            | speler         | 2.80539479718e-05-> 9.999719e-01   | 
speler         | die            | 0.0030483151786-> 9.969563e-01   | 
die            | een            | 0.00966760609299-> 9.903790e-01   | 
een            | verkeerd       | 1.38809682539e-05-> 9.999861e-01   | 
verkeerd       | shot           | 2.82356413663e-05-> 9.999717e-01   | 
shot           | neemt          | 2.77230210486e-05-> 9.999723e-01   | 
neemt          | omdat          | 0.000645172956865-> 9.993550e-01   | 
omdat          | op             | 0.00520197907463-> 9.948115e-01   | 
op             | het            | 0.00269392388873-> 9.973097e-01   | 
het            | moment         | 6.63345854264e-05-> 9.999337e-01   | 
moment         | van            | 0.0339457690716-> 9.666239e-01   | 
van            | de             | 0.0663861706853-> 9.357694e-01   | 
de             | slag           | 3.26376757585e-05-> 9.999673e-01   | 
slag           | in             | 0.00903206318617-> 9.910086e-01   | 
in             | de             | 0.0726381465793-> 9.299372e-01   | 
de             | onmiddellijke  | 1.22297306007e-05-> 9.999878e-01   | 
onmiddellijke  | nabijheid      | 7.67683741287e-06-> 9.999923e-01   | 
nabijheid      | een            | 0.0103035345674-> 9.897494e-01   | 
een            | bom            | 9.97979350359e-06-> 9.999900e-01   | 
bom            | ontplofte      | 6.69508426654e-06-> 9.999933e-01   | 
ontplofte      | mag            | 0.000145760597661-> 9.998543e-01   | 
mag            | vanop          | 1.26565228129e-05-> 9.999874e-01   | 
vanop          | dezelfde       | 1.95113716472e-05-> 9.999805e-01   | 
dezelfde       | plaats         | 0.000320428516716-> 9.996796e-01   | 
plaats         | opnieuw        | 3.81072641176e-05-> 9.999619e-01   | 
opnieuw        | slaan          | 2.31526373682e-05-> 9.999769e-01   | 
slaan          | maar           | 0.00172230333555-> 9.982792e-01   | 
maar           | er             | 0.00322152418084-> 9.967837e-01   | 
er             | wordt          | 0.0014949652832-> 9.985061e-01   | 
wordt          | hem            | 0.000989140360616-> 9.990113e-01   | 
hem            | wel            | 0.00100203347392-> 9.989985e-01   | 
wel            | een            | 0.0105619216338-> 9.894937e-01   | 
een            | <UNK>          | 0.0181068554521-> 9.820561e-01   | 
<UNK>          | aangerekend    | 7.72819566919e-06-> 9.999923e-01   | 
aangerekend    | </s>           | 0.00811488647014-> 9.919180e-01   | 
</s>           | <s>            | 0.499497801065 -> 6.068353e-01   | 
<s>            | dat            | 0.012028504163 -> 9.880435e-01   | 
dat            | is             | 0.00811000633985-> 9.919228e-01   | 
is             | iets           | 0.000115216113045-> 9.998848e-01   | 
iets           | anders         | 0.000156368827447-> 9.998437e-01   | 
anders         | dan            | 0.00322488858365-> 9.967803e-01   | 
dan            | de             | 0.0649285838008-> 9.371344e-01   | 
de             | UCI            | 8.76683188835e-05-> 9.999123e-01   | 
UCI            | nietwaar       | 1.91247527255e-05-> 9.999809e-01   | 
nietwaar       | </s>           | 0.00811494886875-> 9.919179e-01   | 
</s>           | <s>            | 0.499466627836 -> 6.068543e-01   | 
<s>            | en             | 0.00550170987844-> 9.945134e-01   | 
en             | het            | 0.00230115721934-> 9.977015e-01   | 
het            | tweede         | 0.000262082001427-> 9.997380e-01   | 
tweede         | waarmee        | 3.19543978549e-05-> 9.999681e-01   | 
waarmee        | niet           | 0.00361088337377-> 9.963956e-01   | 
niet           | gelachen       | 1.07182640932e-05-> 9.999893e-01   | 
gelachen       | wordt          | 0.00139868061524-> 9.986023e-01   | 
wordt          | is             | 0.00614980980754-> 9.938691e-01   | 
is             | de             | 0.0715719386935-> 9.309293e-01   | 
de             | Ryder          | 1.85433455044e-05-> 9.999815e-01   | 
Ryder          | Cup            | 0.000109796135803-> 9.998902e-01   | 
Cup            | </s>           | 0.008176388219 -> 9.918569e-01   | 
</s>           | <s>            | 0.499476641417 -> 6.068482e-01   | 
<s>            | <UNK>          | 0.0165930762887-> 9.835438e-01   | 
<UNK>          | ter            | 3.02730913972e-05-> 9.999697e-01   | 
ter            | behoud         | 7.15163332643e-06-> 9.999928e-01   | 
behoud         | of             | 0.00231681670994-> 9.976858e-01   | 
of             | ter            | 3.08276539727e-05-> 9.999692e-01   | 
ter            | herovering     | 7.32541229809e-06-> 9.999927e-01   | 
herovering     | van            | 0.0301196295768-> 9.703295e-01   | 
van            | de             | 0.0673920586705-> 9.348286e-01   | 
de             | legendarische  | 1.42657891047e-05-> 9.999858e-01   | 
legendarische  | beker          | 4.70619379485e-05-> 9.999529e-01   | 
beker          | die            | 0.0032879144419-> 9.967175e-01   | 
die            | de             | 0.0570051372051-> 9.445892e-01   | 
de             | Britse         | 5.29250573891e-05-> 9.999471e-01   | 
Britse         | zakenman       | 1.25884616864e-05-> 9.999874e-01   | 
zakenman       | Samuel         | 1.21209732242e-05-> 9.999879e-01   | 
Samuel         | A              | 1.44324167195e-05-> 9.999856e-01   | 
A              | Ryder          | 1.24829366541e-05-> 9.999875e-01   | 
Ryder          | in             | 0.00921076815575-> 9.908315e-01   | 
in             | negentien      | 0.00191918178461-> 9.980826e-01   | 
negentien      | honderd        | 0.0035514596384-> 9.964548e-01   | 
honderd        | zeven-en       | 0.000120410222735-> 9.998796e-01   | 
zeven-en       | twintig        | 0.000618176418357-> 9.993820e-01   | 
twintig        | liet           | 8.40242137201e-05-> 9.999160e-01   | 
liet           | ontwerpen      | 1.24427715491e-05-> 9.999875e-01   | 
ontwerpen      | </s>           | 0.00831993948668-> 9.917146e-01   | 
</s>           | <s>            | 0.499528318644 -> 6.068168e-01   | 
<s>            | als            | 0.00344712333754-> 9.965588e-01   | 
als            | we             | 0.000916984805372-> 9.990835e-01   | 
we             | de             | 0.0607151649892-> 9.410912e-01   | 
de             | </s>           | 0.00328964507207-> 9.967158e-01   | 
</s>           | <s>            | 0.498973220587 -> 6.071538e-01   | 
<s>            | Amerikanen     | 5.05488351337e-05-> 9.999495e-01   | 
Amerikanen     | de             | 0.0596459023654-> 9.420981e-01   | 
de             | laatste        | 0.000262438174104-> 9.997376e-01   | 
laatste        | jaren          | 0.000575720216148-> 9.994245e-01   | 
jaren          | op             | 0.00460472051054-> 9.954059e-01   | 
op             | één          | 0.000894493306987-> 9.991059e-01   | 
één          | domein         | 8.26689665701e-06-> 9.999917e-01   | 
domein         | de             | 0.0616894587874-> 9.401748e-01   | 
de             | baas           | 1.86479046533e-05-> 9.999813e-01   | 
baas           | waren          | 0.000663415645249-> 9.993368e-01   | 
waren          | dan            | 0.00301340664737-> 9.969912e-01   | 
dan            | was            | 0.00299498182721-> 9.970095e-01   | 
was            | het            | 0.0025921149645-> 9.974113e-01   | 
het            | in             | 0.00431429874152-> 9.956950e-01   | 
in             | de             | 0.0734891071916-> 9.291463e-01   | 
de             | Ryder          | 1.86033394129e-05-> 9.999814e-01   | 
Ryder          | Cup            | 0.000109922446427-> 9.998901e-01   | 
Cup            | </s>           | 0.00817814376205-> 9.918552e-01   | 
</s>           | <s>            | 0.499472290277 -> 6.068508e-01   | 
<s>            | de             | 0.0993641242385-> 9.054130e-01   | 
de             | tussenstand    | 1.31360357045e-05-> 9.999869e-01   | 
tussenstand    | is             | 0.00546046160161-> 9.945544e-01   | 
is             | weliswaar      | 9.78096340987e-06-> 9.999902e-01   | 
weliswaar      | van            | 0.0273299496621-> 9.730402e-01   | 
van            | drie-en        | 0.000153131230036-> 9.998469e-01   | 
drie-en        | twintig        | 0.000621833431069-> 9.993784e-01   | 
twintig        | tot            | 0.00209572981112-> 9.979064e-01   | 
tot            | zeven          | 0.000126724946313-> 9.998733e-01   | 
zeven          | voor           | 0.00391373410821-> 9.960939e-01   | 
voor           | de             | 0.0765059068799-> 9.263474e-01   | 
de             | Amerikanen     | 6.19235797785e-05-> 9.999381e-01   | 
Amerikanen     | maar           | 0.00153633323498-> 9.984648e-01   | 
maar           | </s>           | 0.00885124970227-> 9.911878e-01   | 
</s>           | <s>            | 0.49949619174  -> 6.068363e-01   | 
<s>            | Europa         | 0.000260386237642-> 9.997396e-01   | 
Europa         | is             | 0.00704715540633-> 9.929776e-01   | 
is             | de             | 0.0707893893123-> 9.316581e-01   | 
de             | kloof          | 1.75477343873e-05-> 9.999825e-01   | 
kloof          | langzaam       | 3.15681536449e-05-> 9.999684e-01   | 
langzaam       | maar           | 0.0017720303731-> 9.982296e-01   | 
maar           | zeker          | 0.000252705300227-> 9.997473e-01   | 
zeker          | aan            | 0.00232453364879-> 9.976782e-01   | 
aan            | het            | 0.00269289989956-> 9.973107e-01   | 
het            | dichten        | 1.14781032607e-05-> 9.999885e-01   | 
dichten        | </s>           | 0.00872586295009-> 9.913121e-01   | 
</s>           | <s>            | 0.499474197626 -> 6.068497e-01   | 
<s>            | met            | 0.0037537177559-> 9.962533e-01   | 
met            | een            | 0.00999735761434-> 9.900525e-01   | 
een            | beetje         | 5.56685663469e-05-> 9.999443e-01   | 
beetje         | geluk          | 1.18099815154e-05-> 9.999882e-01   | 
geluk          | hebben         | 0.00105200335383-> 9.989486e-01   | 
hebben         | we             | 0.000826211238746-> 9.991741e-01   | 
we             | ze             | 0.00185139232781-> 9.981503e-01   | 
ze             | in             | 0.00911882612854-> 9.909226e-01   | 
in             | twee           | 0.00120497401804-> 9.987957e-01   | 
twee           | duizend        | 0.000536914914846-> 9.994632e-01   | 
duizend        | negen-en       | 0.00060138257686-> 9.993988e-01   | 
negen-en       | twintig        | 0.000619321072008-> 9.993809e-01   | 
twintig        | te             | 0.00664042541757-> 9.933816e-01   | 
te             | pakken         | 2.45682640525e-05-> 9.999754e-01   | 
pakken         | </s>           | 0.00864825956523-> 9.913890e-01   | 
</s>           | <s>            | 0.499490559101 -> 6.068397e-01   | 
<s>            | op             | 0.00497115915641-> 9.950412e-01   | 
op             | drie-en        | 0.000141949130921-> 9.998581e-01   | 
drie-en        | twintig        | 0.000593998003751-> 9.994062e-01   | 
twintig        | september      | 2.41240741161e-05-> 9.999759e-01   | 
september      | beginnen       | 1.71483261511e-05-> 9.999828e-01   | 
beginnen       | we             | 0.000819334352855-> 9.991810e-01   | 
we             | eraan          | 9.65924482443e-06-> 9.999903e-01   | 
eraan          | deze           | 0.00046669220319-> 9.995334e-01   | 
deze           | keer           | 0.000225900352234-> 9.997741e-01   | 
keer           | op             | 0.00501809921116-> 9.949945e-01   | 
op             | The            | 3.5307923099e-05-> 9.999647e-01   | 
The            | <UNK>          | 0.014933237806 -> 9.851777e-01   | 
<UNK>          | Country        | 1.75894456333e-05-> 9.999824e-01   | 
Country        | </s>           | 0.00818170700222-> 9.918517e-01   | 
</s>           | <s>            | 0.499533861876 -> 6.068134e-01   | 
<s>            | club           | 4.98710141983e-05-> 9.999501e-01   | 
club           | in             | 0.0079085920006-> 9.921226e-01   | 
in             | de             | 0.0743700936437-> 9.283280e-01   | 
de             | staat          | 0.000428388389992-> 9.995717e-01   | 
staat          | Massachusetts  | 2.76215214399e-05-> 9.999724e-01   | 
Massachusetts  | </s>           | 0.00786931067705-> 9.921616e-01   | 
</s>           | <s>            | 0.499432861805 -> 6.068748e-01   | 
<s>            | <UNK>          | 0.0165930762887-> 9.835438e-01   | 
<UNK>          | we             | 0.000978192081675-> 9.990223e-01   | 
we             | de             | 0.0609309412539-> 9.408882e-01   | 
de             | woorden        | 5.41109475307e-05-> 9.999459e-01   | 
woorden        | van            | 0.0316690765321-> 9.688271e-01   | 
van            | Ben            | 1.43613724504e-05-> 9.999856e-01   | 
