input           | target          | original0       <-> cbow_tfidf_soft0 || best model: 0:first, 1:second
de              | voormalige      | 7.61112689972   <-> 6.46165418625   || 1
voormalige      | Schotse         | 9.03543758392   <-> 8.87098407745   || 1
Schotse         | <UNK>           | 1.09634590149   <-> 1.62145745754   || 0
<UNK>           | op              | 4.30010223389   <-> 4.70380926132   || 0
op              | zoek            | 4.05105304718   <-> 4.40206432343   || 0
zoek            | naar            | 0.558078169823  <-> 0.228452175856  || 1
naar            | sterke          | 9.7142534256    <-> 9.42066955566   || 1
sterke          | maar            | 8.72613143921   <-> 7.7259516716    || 1
maar            | <UNK>           | 3.06208825111   <-> 2.43605709076   || 1
<UNK>           | funk            | 9.66589927673   <-> 11.3916797638   || 0
funk            | en              | 2.14585232735   <-> 1.76260495186   || 1
en              | <UNK>           | 1.62777543068   <-> 1.41275954247   || 1
<UNK>           | </s>            | 1.27384376526   <-> 1.08483815193   || 1
<s>             | door            | 5.73524713516   <-> 5.83491420746   || 0
door            | de              | 1.26953136921   <-> 1.15880453587   || 1
de              | zaak            | 7.71196269989   <-> 7.19017553329   || 1
zaak            | exclusief       | 11.7863540649   <-> 12.0059938431   || 0
exclusief       | te              | 4.78653812408   <-> 3.34491324425   || 1
te              | houden          | 5.19065237045   <-> 4.8881187439    || 1
houden          | heeft           | 3.71664357185   <-> 3.8669090271    || 0
heeft           | hij             | 2.14580726624   <-> 2.37689161301   || 0
hij             | in              | 3.4418592453    <-> 3.57046175003   || 0
in              | eigen           | 5.85366916656   <-> 5.84801578522   || 1
eigen           | land            | 3.90593743324   <-> 2.27724838257   || 1
land            | een             | 1.89662408829   <-> 2.12159657478   || 0
een             | fanatiek        | 10.8602371216   <-> 11.0133743286   || 0
fanatiek        | publiek         | 5.48698043823   <-> 5.70557832718   || 0
publiek         | opgebouwd       | 5.97544670105   <-> 6.49974536896   || 0
opgebouwd       | </s>            | 1.00631725788   <-> 0.954811513424  || 1
<s>             | sinds           | 6.73298883438   <-> 6.6414809227    || 1
sinds           | enkele          | 5.98626899719   <-> 5.90187835693   || 1
enkele          | jaren           | 0.991113781929  <-> 0.809739768505  || 1
jaren           | brengt          | 7.16868972778   <-> 7.35425901413   || 0
brengt          | hij             | 2.19658946991   <-> 2.42829084396   || 0
hij             | zijn            | 4.53504323959   <-> 4.42671632767   || 1
zijn            | schatten        | 11.1028738022   <-> 13.1866588593   || 0
schatten        | uit             | 3.92105221748   <-> 3.82172322273   || 1
uit             | op              | 4.58457994461   <-> 4.29684257507   || 1
op              | de              | 1.343272686     <-> 1.2119538784    || 1
de              | <UNK>           | 1.82418978214   <-> 2.0324511528    || 0
<UNK>           | </s>            | 1.37742400169   <-> 1.25397539139   || 1
<s>             | <UNK>           | 2.90319156647   <-> 3.1544175148    || 0
<UNK>           | deep            | 11.7979507446   <-> 12.2243337631   || 0
deep            | funk            | 9.03681373596   <-> 9.59646701813   || 0
funk            | en              | 2.5325088501    <-> 2.13492417336   || 1
en              | wisselt         | 12.3073968887   <-> 12.4848175049   || 0
wisselt         | hij             | 5.55945062637   <-> 3.82077527046   || 1
hij             | druk            | 10.4773387909   <-> 9.66519546509   || 1
druk            | plaatjes        | 13.6606998444   <-> 13.9483766556   || 0
plaatjes        | met             | 2.7019572258    <-> 3.93607068062   || 0
met             | DJ              | 8.81758880615   <-> 9.46837329865   || 0
DJ              | Shadow          | 10.7859716415   <-> 9.79298400879   || 1
Shadow          | </s>            | 1.60854578018   <-> 1.2325720787    || 1
<s>             | opmerkelijk     | 8.8634929657    <-> 8.52694702148   || 1
opmerkelijk     | is              | 1.73115408421   <-> 1.17142748833   || 1
is              | het             | 2.77420639992   <-> 2.55412077904   || 1
het             | zware           | 9.46307659149   <-> 8.8913640976    || 1
zware           | accent          | 7.48690605164   <-> 9.29718399048   || 0
accent          | dat             | 3.82050037384   <-> 3.35910534859   || 1
dat             | gelegd          | 14.3861255646   <-> 14.6236934662   || 0
gelegd          | wordt           | 2.90095376968   <-> 2.23884248734   || 1
wordt           | op              | 2.88167095184   <-> 3.38707923889   || 0
op              | drum'n'bass     | 11.6597585678   <-> 13.2908344269   || 0
drum'n'bass     | </s>            | 1.07568025589   <-> 1.13822174072   || 0
<s>             | de              | 1.96400415897   <-> 1.99175584316   || 0
de              | snelle          | 8.33245277405   <-> 8.18547344208   || 1
snelle          | en              | 5.29965782166   <-> 6.42377328873   || 0
en              | technisch       | 9.37997817993   <-> 8.05360031128   || 1
technisch       | behoorlijk      | 10.6847667694   <-> 11.1489753723   || 0
behoorlijk      | ingenieuze      | 10.3194904327   <-> 10.4178638458   || 0
ingenieuze      | <UNK>           | 1.50215816498   <-> 1.61679399014   || 0
<UNK>           | was             | 4.26289463043   <-> 4.51361513138   || 0
was             | immers          | 6.20009422302   <-> 6.09825658798   || 1
immers          | al              | 4.16262102127   <-> 3.47197651863   || 1
al              | opgegeven       | 11.0330963135   <-> 10.5966377258   || 1
opgegeven       | </s>            | 0.826590061188  <-> 0.536180317402  || 1
<s>             | de              | 1.9009950161    <-> 1.99175584316   || 0
de              | mislukte        | 10.4521627426   <-> 10.1126298904   || 1
mislukte        | poging          | 7.86231327057   <-> 7.20624494553   || 1
poging          | om              | 2.0611140728    <-> 2.09861826897   || 0
om              | het             | 2.56290197372   <-> 2.42517280579   || 1
het             | brede           | 8.19889068604   <-> 8.8100566864    || 0
brede           | publiek         | 3.8225839138    <-> 4.0947971344    || 0
publiek         | te              | 1.31620025635   <-> 1.29160606861   || 1
te              | bereiken        | 5.30295848846   <-> 4.07061386108   || 1
bereiken        | is              | 1.96280145645   <-> 2.01573204994   || 0
is              | echter          | 6.15384483337   <-> 5.61810207367   || 1
echter          | een             | 2.24948310852   <-> 2.37510561943   || 0
een             | creatieve       | 8.48714256287   <-> 8.8496761322    || 0
creatieve       | zegen           | 9.59979248047   <-> 8.77523422241   || 1
zegen           | gebleken        | 10.4162683487   <-> 9.35967826843   || 1
gebleken        | </s>            | 1.01834952831   <-> 0.744256138802  || 1
<s>             | in              | 3.24750971794   <-> 3.49429655075   || 0
in              | de              | 1.16724169254   <-> 1.23621177673   || 0
de              | ondergrond      | 9.10401725769   <-> 9.87272262573   || 0
ondergrond      | <UNK>           | 3.73309803009   <-> 4.45947504044   || 0
<UNK>           | en              | 4.28903150558   <-> 4.01878547668   || 1
en              | <UNK>           | 2.24269151688   <-> 2.31137561798   || 0
<UNK>           | het             | 4.35324764252   <-> 4.74695968628   || 0
het             | als             | 6.47187614441   <-> 7.19026041031   || 0
als             | nooit           | 7.29670524597   <-> 8.24029922485   || 0
nooit           | tevoren         | 8.6166229248    <-> 8.20837497711   || 1
tevoren         | en              | 3.89541101456   <-> 3.4535381794    || 1
en              | wordt           | 6.1343960762    <-> 5.09188938141   || 1
wordt           | een             | 2.73327088356   <-> 2.8479309082    || 0
een             | nieuwe          | 4.73445415497   <-> 4.4421749115    || 1
nieuwe          | sprong          | 9.40028476715   <-> 9.17136096954   || 1
sprong          | voorwaarts      | 7.90311765671   <-> 6.5885887146    || 1
voorwaarts      | voorbereid      | 8.70467853546   <-> 7.49495124817   || 1
voorbereid      | </s>            | 0.693974733353  <-> 0.484519183636  || 1
<s>             | ten             | 7.35170936584   <-> 7.29974794388   || 1
ten             | days            | 11.1419687271   <-> 14.3746051788   || 0
days            | off             | 10.9951477051   <-> 9.84290504456   || 1
off             | gaat            | 6.56465244293   <-> 6.11868286133   || 1
gaat            | evenveel        | 9.77502155304   <-> 10.0108442307   || 0
evenveel        | naar            | 4.56360816956   <-> 5.07903623581   || 0
naar            | toen            | 8.89482784271   <-> 8.24133110046   || 1
toen            | als             | 5.83646392822   <-> 6.17719888687   || 0
als             | naar            | 8.34681987762   <-> 7.06712150574   || 1
naar            | straks          | 11.5806722641   <-> 12.158908844    || 0
straks          | </s>            | 4.22463798523   <-> 3.9772362709    || 1
<s>             | hoewel          | 7.0067987442    <-> 6.89460706711   || 1
hoewel          | de              | 1.80626237392   <-> 1.60858416557   || 1
de              | elektronica     | 9.8646364212    <-> 10.9594478607   || 0
elektronica     | wordt           | 4.8603849411    <-> 5.05623912811   || 0
wordt           | voorgesteld     | 6.18542385101   <-> 5.57953453064   || 1
voorgesteld     | als             | 4.52485466003   <-> 4.39656448364   || 1
als             | een             | 2.53906965256   <-> 2.43827629089   || 1
een             | snoepje         | 10.1656341553   <-> 9.79231071472   || 1
snoepje         | van             | 2.21884965897   <-> 2.64307403564   || 0
van             | hier            | 8.0804233551    <-> 8.51526355743   || 0
hier            | en              | 3.4150352478    <-> 2.78556871414   || 1
en              | nu              | 5.9785118103    <-> 6.38091039658   || 0
nu              | heeft           | 5.45593833923   <-> 4.50082778931   || 1
heeft           | ze              | 2.68023538589   <-> 3.052038908     || 0
ze              | een             | 2.08176827431   <-> 2.22209239006   || 0
een             | lange           | 6.29585599899   <-> 5.77783584595   || 1
lange           | geschiedenis    | 7.05782556534   <-> 7.03865146637   || 1
geschiedenis    | </s>            | 2.24586296082   <-> 2.65086770058   || 0
<s>             | de              | 2.02287578583   <-> 1.99175584316   || 1
de              | grote           | 5.2920665741    <-> 5.6144156456    || 0
grote           | aandacht        | 7.00022506714   <-> 6.78760433197   || 1
aandacht        | zorgt           | 6.92231321335   <-> 7.94097280502   || 0
zorgt           | ervoor          | 3.67337226868   <-> 2.50709199905   || 1
ervoor          | dat             | 0.691851437092  <-> 0.854312717915  || 0
dat             | de              | 1.58858704567   <-> 1.50619781017   || 1
de              | pioniers        | 9.93881797791   <-> 10.9462804794   || 0
pioniers        | mogen           | 9.09708499908   <-> 8.36766052246   || 1
